frameTime,loudness_sma,F0final_sma,F0finalLog_sma,voicingFinalUnclipped_sma,HarmonicsToNoiseRatioACFLogdB_sma
0.000000,9.463910e-01,0,0,6.859179e-01,0
0.010000,9.225637e-01,0,0,6.971900e-01,0
0.020000,8.736769e-01,1.308834e+02,2.700933e+01,7.181730e-01,-1.536239e+00
0.030000,8.096933e-01,1.307755e+02,2.699505e+01,7.409183e-01,-7.222962e-01
0.040000,7.254995e-01,1.310662e+02,2.703333e+01,7.464101e-01,1.122647e-01
0.050000,6.497056e-01,1.321595e+02,2.717631e+01,7.383649e-01,-2.001610e-01
0.060000,5.839867e-01,1.332794e+02,2.732291e+01,7.219503e-01,-1.248536e+00
0.070000,5.473621e-01,1.338206e+02,2.739353e+01,7.117510e-01,-2.113879e+00
0.080000,5.312610e-01,1.334506e+02,2.734555e+01,7.072942e-01,-2.452641e+00
0.090000,5.472718e-01,1.329134e+02,2.727567e+01,7.193677e-01,-2.303556e+00
0.100000,5.986463e-01,1.325912e+02,2.723375e+01,7.329424e-01,-1.597507e+00
0.110000,6.693754e-01,1.326304e+02,2.723885e+01,7.383277e-01,-1.430063e+00
0.120000,7.344077e-01,1.215278e+02,2.556524e+01,7.291031e-01,-1.495193e+00
0.130000,6.893449e-01,1.103877e+02,2.388844e+01,7.147539e-01,-1.550288e+00
0.140000,6.096087e-01,1.324270e+02,2.621653e+01,7.178039e-01,-8.319447e-01
0.150000,5.663633e-01,1.659902e+02,3.026559e+01,7.159803e-01,-6.224242e-01
0.160000,5.914292e-01,2.001296e+02,3.436095e+01,7.197719e-01,-7.644266e-01
0.170000,6.243308e-01,2.010276e+02,3.443848e+01,7.241411e-01,-5.051781e-01
0.180000,6.319727e-01,2.017172e+02,3.449797e+01,7.368416e-01,9.141843e-01
0.190000,5.868227e-01,2.014321e+02,3.447342e+01,7.533672e-01,2.709351e+00
0.200000,5.147899e-01,2.008481e+02,3.442311e+01,7.554977e-01,3.589706e+00
0.210000,4.439636e-01,2.006328e+02,3.440461e+01,7.537364e-01,3.576586e+00
0.220000,4.209686e-01,1.786079e+02,3.209993e+01,7.497797e-01,2.631911e+00
0.230000,4.366866e-01,1.565969e+02,2.978898e+01,7.528375e-01,1.486489e+00
0.240000,4.571906e-01,1.337586e+02,2.738519e+01,7.684358e-01,1.405052e+00
0.250000,4.704297e-01,1.328716e+02,2.726996e+01,7.823957e-01,2.375825e+00
0.260000,4.964903e-01,1.321657e+02,2.717809e+01,7.874108e-01,3.157550e+00
0.270000,5.354110e-01,1.532888e+02,2.943231e+01,7.651483e-01,2.836753e+00
0.280000,5.726708e-01,1.704875e+02,3.133701e+01,7.648953e-01,2.540062e+00
0.290000,6.061759e-01,1.875899e+02,3.323243e+01,7.753248e-01,3.228257e+00
0.300000,7.780301e-01,1.842090e+02,3.292575e+01,8.087938e-01,4.470446e+00
0.310000,1.042588e+00,1.861151e+02,3.310279e+01,8.196746e-01,5.325058e+00
0.320000,1.324893e+00,1.899563e+02,3.345471e+01,8.228700e-01,5.174505e+00
0.330000,1.389344e+00,1.975470e+02,3.412181e+01,8.286554e-01,6.210541e+00
0.340000,1.308784e+00,2.040104e+02,3.468469e+01,8.370564e-01,7.403551e+00
0.350000,1.208207e+00,2.075962e+02,3.499489e+01,8.392590e-01,8.095294e+00
0.360000,1.165802e+00,2.049041e+02,3.476702e+01,8.348091e-01,6.719306e+00
0.370000,1.208586e+00,1.962371e+02,3.399896e+01,7.898653e-01,4.240584e+00
0.380000,1.196445e+00,2.414696e+02,3.692432e+01,7.789039e-01,3.910511e+00
0.390000,1.168668e+00,2.872917e+02,3.993720e+01,7.731276e-01,4.788537e+00
0.400000,1.172176e+00,2.633014e+02,3.704632e+01,7.886381e-01,5.121099e+00
0.410000,1.192940e+00,1.861366e+02,3.049995e+01,7.741961e-01,4.156336e+00
0.420000,1.206238e+00,1.099339e+02,2.398939e+01,7.507426e-01,2.704116e+00
0.430000,1.111737e+00,1.090299e+02,2.384622e+01,7.418799e-01,2.213075e+00
0.440000,9.728928e-01,9.923727e+01,2.204838e+01,7.438149e-01,5.198197e-01
0.450000,7.599112e-01,8.903875e+01,2.015487e+01,7.522807e-01,-5.895832e-01
0.460000,5.491456e-01,7.930499e+01,1.833498e+01,7.675107e-01,-4.604695e-01
0.470000,4.063226e-01,7.874596e+01,1.821329e+01,7.763336e-01,8.640516e-01
0.480000,3.503711e-01,7.880308e+01,1.822582e+01,7.806322e-01,1.711751e+00
0.490000,3.411474e-01,7.867623e+01,1.819788e+01,7.748889e-01,1.794213e+00
0.500000,3.472273e-01,7.845856e+01,1.814979e+01,7.689994e-01,1.328759e+00
0.510000,3.418745e-01,9.577014e+01,2.106683e+01,7.448502e-01,1.289764e+00
0.520000,3.582039e-01,1.979518e+02,3.025085e+01,7.392988e-01,2.220465e+00
0.530000,3.842182e-01,2.984857e+02,3.938019e+01,7.290263e-01,3.272521e+00
0.540000,4.452532e-01,3.814572e+02,4.552785e+01,7.315209e-01,3.687704e+00
0.550000,4.623598e-01,3.821204e+02,4.555760e+01,7.331924e-01,3.623643e+00
0.560000,4.703003e-01,3.838051e+02,4.563392e+01,7.484307e-01,4.180747e+00
0.570000,4.483820e-01,3.865331e+02,4.575695e+01,7.700224e-01,4.836374e+00
0.580000,4.485645e-01,2.791322e+02,3.543733e+01,7.617614e-01,2.799485e+00
0.590000,4.423808e-01,1.725440e+02,2.517049e+01,7.483726e-01,7.949293e-01
0.600000,4.459682e-01,6.511487e+01,1.492230e+01,7.373241e-01,-1.466605e+00
0.610000,4.285047e-01,6.529881e+01,1.497130e+01,7.423651e-01,-1.598505e+00
0.620000,3.903558e-01,6.528287e+01,1.496705e+01,7.462192e-01,-2.005347e+00
0.630000,3.293592e-01,6.483225e+01,1.484707e+01,7.481053e-01,-2.655763e+00
0.640000,2.771271e-01,6.316700e+01,1.438751e+01,7.347209e-01,-5.042494e+00
0.650000,2.202950e-01,6.266681e+01,1.425248e+01,7.122675e-01,-8.298815e+00
0.660000,1.903566e-01,6.246864e+01,1.419892e+01,7.024207e-01,-8.959254e+00
0.670000,1.839255e-01,6.368869e+01,1.453916e+01,7.070825e-01,-8.258200e+00
0.680000,1.927366e-01,6.337526e+01,1.445290e+01,7.220755e-01,-6.280355e+00
0.690000,2.060860e-01,6.291545e+01,1.432667e+01,7.302413e-01,-5.469096e+00
0.700000,2.067260e-01,6.253794e+01,1.422353e+01,7.297408e-01,-5.190107e+00
0.710000,2.092524e-01,6.363734e+01,1.452055e+01,7.251791e-01,-4.870066e+00
0.720000,2.091138e-01,6.716247e+01,1.542436e+01,7.168643e-01,-4.965616e+00
0.730000,2.038153e-01,6.807278e+01,1.567001e+01,7.126072e-01,-4.293611e+00
0.740000,1.967835e-01,1.193364e+02,2.262821e+01,7.412294e-01,-1.697193e+00
0.750000,2.209753e-01,1.685534e+02,2.901408e+01,7.754619e-01,1.282025e+00
0.760000,2.840655e-01,2.216921e+02,3.613169e+01,8.254874e-01,5.514862e+00
0.770000,3.803625e-01,2.243013e+02,3.633386e+01,8.476736e-01,7.681211e+00
0.780000,4.518362e-01,2.275132e+02,3.658058e+01,8.577445e-01,8.663772e+00
0.790000,5.225326e-01,2.301006e+02,3.677635e+01,8.403840e-01,7.370066e+00
0.800000,5.418266e-01,2.320837e+02,3.692542e+01,7.897624e-01,3.804042e+00
0.810000,5.299978e-01,2.330075e+02,3.699445e+01,7.435622e-01,1.574723e+00
0.820000,5.253919e-01,0,0,7.196955e-01,0
0.830000,4.884638e-01,0,0,7.212773e-01,0
0.840000,4.450893e-01,0,0,7.160769e-01,0
0.850000,3.456429e-01,0,0,6.917877e-01,0
0.860000,2.900289e-01,0,0,6.777383e-01,0
0.870000,2.615741e-01,0,0,0,0
0.880000,2.540418e-01,0,0,7.149752e-01,0
0.890000,2.416602e-01,0,0,6.975120e-01,0
0.900000,2.309856e-01,0,0,6.756088e-01,0
0.910000,2.128823e-01,0,0,0,0
0.920000,2.003929e-01,0,0,0,0
0.930000,2.691629e-01,6.537511e+01,1.499129e+01,7.264782e-01,-9.489909e+00
0.940000,3.285241e-01,6.609908e+01,1.518004e+01,7.290877e-01,-8.714322e+00
0.950000,3.651150e-01,6.379737e+01,1.454060e+01,7.310373e-01,-7.046864e+00
0.960000,3.197017e-01,6.030418e+01,1.352460e+01,7.221302e-01,-6.598511e+00
0.970000,3.063754e-01,1.035179e+02,1.970704e+01,7.168917e-01,-4.692575e+00
0.980000,3.273543e-01,1.504182e+02,2.674821e+01,7.317125e-01,-2.080031e+00
0.990000,3.950319e-01,2.026751e+02,3.457219e+01,7.481458e-01,-6.252874e-01
1.000000,5.452151e-01,2.148055e+02,3.554956e+01,7.689472e-01,-5.302572e-01
1.010000,7.920040e-01,2.281677e+02,3.660557e+01,7.806292e-01,-3.409961e-01
1.020000,1.066673e+00,2.390605e+02,3.743574e+01,7.831286e-01,-4.510250e-01
1.030000,1.288403e+00,2.420742e+02,3.765490e+01,7.635486e-01,-2.366922e+00
1.040000,1.324209e+00,2.903174e+02,4.038071e+01,7.449958e-01,-2.450760e+00
1.050000,1.386890e+00,3.371249e+02,4.300494e+01,7.645759e-01,-1.027540e-01
1.060000,1.449370e+00,3.824593e+02,4.557319e+01,7.804050e-01,3.251104e+00
1.070000,1.490503e+00,4.312605e+02,4.743529e+01,7.765448e-01,-3.906476e+00
1.080000,1.312443e+00,4.846513e+02,4.944575e+01,7.657004e-01,-5.373295e+00
1.090000,1.026466e+00,5.494172e+02,5.183604e+01,7.888764e-01,-4.244568e+00
1.100000,8.622069e-01,5.649399e+02,5.232129e+01,8.343993e-01,5.304409e+00
1.110000,9.128167e-01,5.742131e+02,5.260886e+01,8.522000e-01,7.596817e+00
1.120000,1.109528e+00,5.629703e+02,5.225871e+01,8.314259e-01,6.922312e+00
1.130000,1.135305e+00,5.557467e+02,5.203540e+01,7.707720e-01,5.975959e+00
1.140000,9.514872e-01,0,0,7.211081e-01,0
1.150000,6.531080e-01,0,0,7.007482e-01,0
1.160000,5.162908e-01,7.327583e+01,1.696676e+01,7.082539e-01,-5.094581e+00
