id	sentence	utterance
0	Umm, would you please excuse me for a moment?	['You would entertain someone because you want please them', 'please is related to asking', 'please is related to request', 'please is related to polite', 'moment is related to time']
1	No.	[]
2	Am I out of control?	[]
3	If you wanna put a label on it.	['put is related to place', 'name is related to label']
4	But I'm the host!	['a Host can welcome guests', 'A host can welcome a guest']
5	I can see it from right here. It'll cost you one husband.	['eye is related to see', 'look is related to see', 'view is related to see', 'a person wants to see', 'window is related to see', 'clear is related to see', 'glass is related to see', 'turn is related to right', 'a person wants to be right', 'right is related to direction', 'right is related to correct', 'widow is related to husband', 'price is related to cost', 'cost is related to price', 'cost is related to value', 'cost is related to amount', 'cost is related to money', 'expense is related to cost']
6	Nooo! No, that's not true. No, best time ever! Yeah, you rocked my world!	['minute is related to time', 'hour is related to time', 'clock is related to time', 'watch is related to time', 'time is related to clock', 'morning is related to time', 'evening is related to time', 'time is related to minutes', 'fact is related to true', 'the world is round', 'The world is diverse', 'earth is related to world', 'The world is a big place', 'Our world is the earth', 'You are likely to find a world in space', 'You are likely to find a world in a galaxy', 'The world is where we live']
7	Seriously, it's moving!	[]
8	Carol called me to thank me for the lasagna, I asked, she told me.	"['If you want to thank someone then you should say, ""Thank you""', 'Something that might happen when you help someone is that they thank you', 'One of the things you do when you thank someone is show your appreciation', 'Something that might happen when you get some money from someone is you thank them', '*Something you find on a plate is lasagna', 'lasagna is a form of pasta']"
9	Look now, Phoebe remember, hey, their just fulfilling their Christmas....	['hey is a synonym of hello']
10	No, no, no, it's flattery.	[]
11	Yeah, she couldn't live without the Chan Love.	['home is related to live', 'Something you need to do before you live is be born', 'The last thing you do when you Live is Die', 'You would breathe because you want live', 'One of the things you do when you live is breathe', 'Humanity wants to live', 'Something you need to do before you die is live']
12	No Blanche she is upset because they keep changing the taste of coke.	['taste is related to sense', 'taste is related to tongue', 'taste is related to mouth', 'taste is related to food', 'taste is related to flavor', 'Coke is a soda', 'Coke is a beverage', 'upset is a type of disturbance', 'turnover is a synonym of upset', 'upset is a way to get the better of', 'bewilder is a way to upset', 'inhibit is a way to upset', 'touch a nerve is a synonym of upset']
13	No Rose, she is depressed because Marvel had manners on only once a week	['You would hit the bottle because you are depressed', 'depressed is used in the context of biology', 'depressed is a synonym of down in the mouth', 'You would eat ice cream because you are depressed', 'depressed is similar to low', 'depressed is similar to thin', 'thin is similar to depressed', 'low is similar to depressed', 'down is a synonym of depressed', 'week is related to days', 'week is related to seven', 'week is related to seven days', 'day is related to week', 'week is related to time']
14	No Rose, I am nervous because Sonny Bono gets elected mayor of Palm Springs, he is gonna make all the postmens wear leather bell bottoms and a fur vest.	"['make is related to create', 'manufacture is related to make', 'offer is related to make', 'produce is related to make', 'build is related to make', 'polish is related to make', 'nervous is a synonym of aflutter', ""a person doesn't want to be nervous"", 'nervous is a synonym of skittish', 'wool is related to fur', 'cats have fur', 'Mammals have fur', 'bears have fur', 'animals have fur', 'fur is used for keeping animals warm', 'fur is for keeping an animal warm', 'robe is a synonym of vest', 'waistcoat is a synonym of vest', 'a mayor is for running a town', 'You are likely to find a mayor in a town hall', 'You are likely to find a mayor in a town', 'the mayor can present an award', 'a mayor is used for leadership', 'a mayor is for leading a city', 'You are likely to find a mayor in City Hall', 'You can use a mayor to govern your town', 'bell is related to ringing', 'bell is related to church', '*Something you find at church is a bell', 'bell is related to ring', 'bell is related to instrument', '*Something you find at school is a bell']"
15	Oh yes Blanche, about a half hour ago. But now I have hidden her again so you can find her.	['hour is related to time', 'hour is related to minutes', 'hour is related to sixty', 'minute is related to hour', 'hour is related to sixty minutes', 'hour is related to measurement', 'half is a type of part', 'half is a part of basketball', 'first half is a type of half', 'half is a part of football', 'second half is a type of half', 'discover is related to find', 'find is related to search', 'find is related to discover', 'find is related to locate', 'find is related to seek']
16	I don't know Rose, maybe Marry Poppins has an Italian cousin.	['You would find information because you want to know something', 'You would read the news because you want to know', 'You would learn because you want to know something', 'You would read a book because you want to know', 'A stranger is somebody you do not know', 'first cousin is a synonym of cousin']
17	On the home shopping network	['early warning system is a type of network', 'web is a synonym of network', 'network is used in the context of computer science', 'computer network is a type of network', 'nest is related to home', 'home is related to house', 'home is related to place', 'home is related to family', 'home is related to living', 'house is related to home', 'home is related to live', 'home is related to dwelling', 'a supermarket is for shopping', 'a mall is for shopping', 'shopping requires having money', 'The effect of shopping is spending your money', 'market is related to shopping', 'a strip mall is for shopping', 'going to the mall is for shopping', 'a department store is for shopping', 'shopping is for buying things', 'shopping is for buying goods']
18	No I am upset because crocodin turbs are wearing darker colors.	['shade is related to darker', 'upset is a type of disturbance', 'turnover is a synonym of upset', 'upset is a way to get the better of', 'bewilder is a way to upset', 'inhibit is a way to upset', 'touch a nerve is a synonym of upset']
19	The liberarche marquee at Caesar's palace	['castle is related to palace', 'marquise is a synonym of marquee', 'marquee is a synonym of pavilion', 'marquee is a type of canopy']
20	No, she is going to sit here where it's a 112 degrees and eat enchiladas.	['The first thing you do when you attend a lecture is sit', 'chair is related to sit', 'seat is related to sit', 'You can use a folding chair to sit', 'You can use a club chair to sit', 'If you want to diminish your own hunger then you should eat', 'Something you need to do before you eat is find food', 'If you want to sate your hunger then you should eat', 'eat is related to food', 'Sometimes buying a hamburger causes you to eat', 'If you want to have food then you should eat it', 'You would buy a hamburger because you want to eat it', 'plate is related to eat']
21	No, its because I cannot make any sense of those commercials for obsession.	['make is related to create', 'manufacture is related to make', 'offer is related to make', 'produce is related to make', 'build is related to make', 'polish is related to make', 'One psychoneurosis is obsession', 'obsession is a synonym of compulsion', 'taste is related to sense', 'touch is related to sense', 'smell is related to sense', 'feel is related to sense', 'hear is related to sense']
