frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma
0;0.000000;5.268967e-01;0;8.171606e-02
1;0.010000;5.441758e-01;0;5.763615e-02
2;0.020000;5.573469e-01;1.523810e+02;4.245356e-02
3;0.030000;5.893880e-01;2.993679e+02;2.778368e-02
4;0.040000;5.970836e-01;4.517970e+02;5.817497e-02
5;0.050000;6.028188e-01;4.579718e+02;5.785377e-02
6;0.060000;6.084967e-01;4.648310e+02;6.011695e-02
7;0.070000;6.358438e-01;4.709576e+02;5.787341e-02
8;0.080000;6.213150e-01;4.748426e+02;7.000542e-02
9;0.090000;5.780710e-01;3.209965e+02;9.918590e-02
10;0.100000;5.271866e-01;1.624407e+02;1.057381e-01
11;0.110000;5.451915e-01;0;9.867015e-02
12;0.120000;5.248235e-01;0;7.283024e-02
13;0.130000;4.900701e-01;0;4.107811e-02
14;0.140000;4.495534e-01;0;3.393494e-02
15;0.150000;5.079541e-01;0;4.270325e-02
16;0.160000;5.909121e-01;1.632653e+02;3.538205e-02
17;0.170000;6.707758e-01;3.138635e+02;5.388818e-02
18;0.180000;7.168039e-01;3.138635e+02;3.971298e-02
19;0.190000;7.160546e-01;3.138635e+02;5.179040e-02
20;0.200000;6.909308e-01;3.189720e+02;7.593229e-02
21;0.210000;6.719592e-01;4.626113e+02;1.069760e-01
22;0.220000;6.908954e-01;4.384765e+02;9.842779e-02
23;0.230000;7.317562e-01;4.219001e+02;5.908378e-02
24;0.240000;7.728647e-01;4.278261e+02;5.283460e-02
25;0.250000;7.845945e-01;4.448862e+02;9.965336e-02
26;0.260000;7.866859e-01;4.588693e+02;1.304827e-01
27;0.270000;7.625374e-01;4.638970e+02;1.192810e-01
28;0.280000;7.268823e-01;4.638078e+02;1.102064e-01
29;0.290000;6.327839e-01;4.691257e+02;1.134160e-01
30;0.300000;5.427885e-01;3.145327e+02;1.338232e-01
31;0.310000;5.037351e-01;1.584314e+02;1.072073e-01
32;0.320000;4.420367e-01;0;7.224816e-02
33;0.330000;4.242745e-01;0;6.866810e-02
34;0.340000;4.939436e-01;0;7.232911e-02
35;0.350000;6.811678e-01;1.555841e+02;8.411520e-02
36;0.360000;8.459872e-01;3.067646e+02;6.986575e-02
37;0.370000;9.092388e-01;4.495923e+02;1.328676e-01
38;0.380000;9.435322e-01;4.293913e+02;2.210868e-01
39;0.390000;9.639153e-01;4.069521e+02;2.833603e-01
40;0.400000;9.714806e-01;3.868587e+02;2.241136e-01
41;0.410000;9.703509e-01;3.463468e+02;1.465168e-01
42;0.420000;9.653977e-01;2.877822e+02;1.088516e-01
43;0.430000;9.578354e-01;2.356885e+02;1.917363e-01
44;0.440000;9.490081e-01;2.116138e+02;3.090110e-01
45;0.450000;9.415540e-01;2.123908e+02;4.301128e-01
46;0.460000;9.404712e-01;2.122403e+02;4.561549e-01
47;0.470000;9.445676e-01;2.104209e+02;3.791509e-01
48;0.480000;9.465770e-01;2.064315e+02;3.402648e-01
49;0.490000;8.534671e-01;2.009917e+02;3.389989e-01
50;0.500000;7.349377e-01;2.003423e+02;3.424006e-01
51;0.510000;6.497270e-01;2.064434e+02;2.251764e-01
52;0.520000;6.208581e-01;2.154687e+02;1.292091e-01
53;0.530000;6.001732e-01;2.222651e+02;1.450458e-01
54;0.540000;6.194861e-01;1.491997e+02;2.524372e-01
55;0.550000;7.206850e-01;1.563423e+02;3.513796e-01
56;0.560000;8.414211e-01;1.626437e+02;3.176885e-01
57;0.570000;8.966114e-01;2.444857e+02;4.938206e-01
58;0.580000;9.054090e-01;2.453187e+02;5.370641e-01
59;0.590000;8.914604e-01;2.459445e+02;6.043024e-01
60;0.600000;8.435869e-01;2.465790e+02;4.082470e-01
61;0.610000;7.949013e-01;2.478633e+02;2.844016e-01
62;0.620000;7.949206e-01;2.498021e+02;2.860160e-01
63;0.630000;8.358318e-01;2.536299e+02;2.356747e-01
64;0.640000;8.683380e-01;2.604702e+02;2.745034e-01
65;0.650000;8.134780e-01;2.686999e+02;2.396063e-01
66;0.660000;6.821681e-01;2.746155e+02;2.180772e-01
67;0.670000;6.459883e-01;1.844396e+02;2.240582e-01
68;0.680000;6.881018e-01;1.816053e+02;1.742559e-01
69;0.690000;7.718892e-01;1.790220e+02;1.538478e-01
70;0.700000;8.177631e-01;2.704775e+02;8.702610e-02
71;0.710000;8.286020e-01;2.692703e+02;1.347476e-01
72;0.720000;8.075292e-01;2.631852e+02;1.896536e-01
73;0.730000;7.170763e-01;2.557198e+02;2.526458e-01
74;0.740000;6.775062e-01;2.517521e+02;1.999041e-01
75;0.750000;6.801926e-01;2.590864e+02;1.820155e-01
76;0.760000;6.118377e-01;2.706604e+02;1.312010e-01
77;0.770000;4.796794e-01;1.864499e+02;1.468575e-01
78;0.780000;3.194598e-01;9.556412e+01;1.167722e-01
79;0.790000;2.966650e-01;0;1.068287e-01
80;0.800000;4.001752e-01;0;7.080440e-02
81;0.810000;6.048415e-01;6.896552e+01;6.682148e-02
82;0.820000;7.898722e-01;1.373466e+02;6.925149e-02
83;0.830000;8.799095e-01;2.051432e+02;6.173946e-02
84;0.840000;9.111904e-01;2.038313e+02;1.127252e-01
85;0.850000;9.126059e-01;2.028189e+02;3.148465e-01
86;0.860000;9.064326e-01;2.018308e+02;5.749683e-01
87;0.870000;9.008778e-01;2.002940e+02;7.156596e-01
88;0.880000;8.913035e-01;1.982358e+02;6.549083e-01
89;0.890000;8.728356e-01;1.956885e+02;5.518275e-01
90;0.900000;8.411986e-01;1.931902e+02;4.421273e-01
91;0.910000;8.132655e-01;1.913718e+02;3.468012e-01
92;0.920000;7.738013e-01;1.911147e+02;2.067392e-01
93;0.930000;7.494485e-01;1.928121e+02;1.303799e-01
94;0.940000;7.006975e-01;1.954357e+02;1.103653e-01
95;0.950000;6.527455e-01;1.975473e+02;1.155835e-01
96;0.960000;5.826396e-01;1.979423e+02;1.160340e-01
97;0.970000;5.691136e-01;1.318266e+02;1.020892e-01
98;0.980000;5.867488e-01;1.312667e+02;9.449407e-02
99;0.990000;5.860528e-01;1.325676e+02;1.010087e-01
100;1.000000;4.783705e-01;1.325676e+02;6.879041e-02
101;1.010000;3.917960e-01;6.701176e+01;6.756507e-02
102;1.020000;3.129328e-01;0;5.773100e-02
103;1.030000;4.399325e-01;0;6.114201e-02
104;1.040000;5.803019e-01;6.896552e+01;5.778269e-02
105;1.050000;7.757963e-01;1.380803e+02;5.827045e-02
106;1.060000;8.424470e-01;2.074950e+02;6.211188e-02
107;1.070000;8.477856e-01;2.079441e+02;9.485998e-02
108;1.080000;8.156112e-01;2.076494e+02;9.614256e-02
109;1.090000;8.119675e-01;2.066108e+02;1.891280e-01
110;1.100000;8.252820e-01;2.057189e+02;2.546493e-01
111;1.110000;7.947285e-01;2.055684e+02;3.363811e-01
112;1.120000;6.211666e-01;2.063097e+02;3.298388e-01
113;1.130000;5.619638e-01;1.377869e+02;2.951587e-01
114;1.140000;6.003808e-01;1.396020e+02;2.418200e-01
115;1.150000;7.359850e-01;1.411251e+02;1.610961e-01
116;1.160000;6.932561e-01;2.119216e+02;1.246551e-01
117;1.170000;7.088844e-01;1.414370e+02;2.159333e-01
118;1.180000;7.615746e-01;1.455628e+02;3.385976e-01
119;1.190000;8.813999e-01;1.495327e+02;4.331850e-01
120;1.200000;8.973677e-01;2.244746e+02;5.186312e-01
121;1.210000;8.721189e-01;2.246501e+02;5.175340e-01
122;1.220000;7.922179e-01;2.243040e+02;3.873281e-01
123;1.230000;7.476915e-01;2.230964e+02;2.162034e-01
124;1.240000;7.534973e-01;2.207262e+02;1.137546e-01
125;1.250000;7.995170e-01;2.182165e+02;1.551837e-01
126;1.260000;8.255450e-01;2.170479e+02;1.432871e-01
127;1.270000;8.412123e-01;2.178722e+02;1.626094e-01
